Accident_ID,Incident_Date,Incident_Category,Aircaft_Nature,Fatalities,International,Departure_Code,Destination_Code
6245,1983-11-28,Accident,Passenger,0,0,SWE,SWE
6246,1983-12-05,Accident,Other,0,0,AUS,AUS
6247,1983-12-07,Accident,Passenger,51,1,ESP,ITA
6248,1983-12-07,Accident,Passenger,42,0,ESP,ESP
6249,1983-12-08,Accident,Other,10,0,GBR,GBR
6250,1983-12-11,Accident,Other,0,0,USA,USA
6251,1983-12-14,Accident,Other,25,1,COL,USA
6252,1983-12-17,Accident,Passenger,2,0,CAN,CAN
6253,1983-12-18,Accident,Passenger,0,1,SGP,MYS
6254,1983-12-19,Accident,Cargo,0,1,JPN,USA
6255,1983-12-20,Accident,Passenger,1,0,USA,USA
6256,1983-12-22,Accident,Other,0,0,USA,USA
6257,1983-12-23,Accident,Cargo,0,0,USA,USA
6258,1983-12-24,Accident,Passenger,44,0,RUS,RUS
6259,1982-01-02,Accident,Military,1,0,USA,USA
6260,1982-01-07,Hijacking,Passenger,0,0,COL,COL
6261,1982-01-07,Accident,Passenger,18,1,RUS,GEO
6262,1982-01-08,Accident,Passenger,0,1,DEU,CHE
6263,1982-01-13,Accident,Passenger,78,0,USA,USA
6264,1982-01-17,Accident,Cargo,0,0,USA,USA
6265,1982-01-18,Accident,Military,0,0,USA,USA
6266,1982-01-19,Accident,Cargo,0,1,USA,NIC
6267,1982-01-21,Accident,Other,0,0,USA,USA
6268,1982-01-21,Accident,Military,7,0,NCL,NCL
6269,1982-01-23,Accident,Passenger,2,0,USA,USA
6270,1982-01-25,Accident,Other,7,0,ROU,ROU
6271,1982-01-27,Hijacking,Passenger,0,0,COL,COL
6272,1982-02-01,Accident,Passenger,0,0,USA,USA
6273,1982-02-02,Hijacking,Passenger,0,0,USA,USA
6274,1982-02-03,Accident,Military,36,0,DJI,DJI
6275,1982-02-07,Accident,Military,23,0,IND,IND
6276,1982-02-09,Accident,Passenger,24,0,JPN,JPN
6277,1982-02-09,Accident,Passenger,3,0,PHL,PHL
6278,1982-02-16,Accident,Passenger,0,0,USA,USA
6279,1982-02-20,Accident,Other,0,0,GBR,GBR
6280,1982-02-21,Accident,Passenger,1,0,USA,USA
6281,1982-02-24,Hijacking,Passenger,0,1,LBN,KWT
6282,1982-02-26,Hijacking,Passenger,0,0,TZA,TZA
6283,1982-03-01,Hijacking,Passenger,0,0,USA,USA
6284,1982-03-11,Accident,Passenger,15,0,NOR,NOR
6285,1982-03-13,Accident,Military,4,0,USA,USA
6286,1982-03-15,Accident,Military,9,1,RUS,UKR
6287,1982-03-17,Accident,Passenger,0,1,YEM,EGY
6288,1982-03-19,Accident,Military,27,0,USA,USA
6289,1982-03-20,Accident,Passenger,27,0,IDN,IDN
6290,1982-03-26,Accident,Other,3,0,DEU,DEU
6291,1982-03-26,Accident,Passenger,21,0,COL,COL
6292,1982-04-05,Hijacking,Passenger,0,0,USA,USA
6293,1982-04-13,Accident,Military,27,0,TUR,TUR
6294,1982-04-24,Accident,Cargo,0,0,RUS,RUS
6295,1982-04-26,Accident,Passenger,112,0,CHN,CHN
6296,1982-04-28,Hijacking,Passenger,0,0,HND,HND
6297,1982-04-29,Accident,Military,7,0,ECU,ECU
6298,1982-04-30,Hijacking,Passenger,0,0,POL,POL
6299,1982-05-03,"Criminal occurrence (sabotage, shoot down)",Other,14,1,DZA,IRN
6300,1982-05-06,Accident,Other,4,0,USA,USA
6301,1982-05-09,Accident,Passenger,23,0,YEM,YEM
6302,1982-05-10,Hijacking,Passenger,0,0,NIC,NIC
6303,1982-05-11,Accident,Other,9,0,HUN,HUN
6304,1982-05-12,Accident,Military,7,0,USA,USA
6305,1982-05-12,Accident,Military,5,0,RUS,RUS
6306,1982-05-15,Accident,Other,0,0,USA,USA
6307,1982-05-16,Accident,Passenger,0,0,USA,USA
6308,1982-05-16,Accident,Other,0,0,BRA,BRA
6309,1982-05-18,Hijacking,Passenger,0,0,COL,COL
6310,1982-05-19,Accident,Other,8,0,DEU,DEU
6311,1982-05-21,Hijacking,Passenger,0,0,PHL,PHL
6312,1982-05-22,Accident,Passenger,0,0,BRA,BRA
6313,1982-05-25,Accident,Passenger,2,0,BRA,BRA
6314,1982-05-27,Hijacking,Passenger,0,1,GRC,MAR
6315,1982-05-29,Accident,Passenger,0,0,COL,COL
6316,1982-06-01,"Criminal occurrence (sabotage, shoot down)",Military,7,0,ARG,ARG
6317,1982-06-02,Accident,Military,0,0,COL,COL
6318,1982-06-06,Accident,Other,0,0,USA,USA
6319,1982-06-07,"Criminal occurrence (sabotage, shoot down)",Military,5,0,ARG,ARG
6320,1982-06-08,Accident,Passenger,137,0,BRA,BRA
6321,1982-06-09,Hijacking,Passenger,0,0,POL,POL
6322,1982-06-12,Accident,Passenger,44,0,BRA,BRA
6323,1982-06-17,Accident,Other,15,0,RUS,RUS
6324,1982-06-22,Accident,Passenger,17,1,MYS,IND
6325,1982-06-24,Accident,Passenger,0,1,MYS,AUS
6326,1982-06-28,Accident,Passenger,132,1,RUS,UKR
6327,1982-06-30,Hijacking,Passenger,0,1,IND,THA
6328,1982-07-06,Accident,Passenger,90,1,RUS,SEN
6329,1982-07-09,Accident,Passenger,153,0,USA,USA
6330,1982-07-10,Accident,Other,4,0,ITA,ITA
6331,1982-07-11,Accident,Passenger,1,0,PHL,PHL
6332,1982-07-22,Hijacking,Passenger,0,0,USA,USA
6333,1982-07-25,Hijacking,Passenger,0,0,CHN,CHN
6334,1982-07-30,Accident,Passenger,0,0,USA,USA
6335,1982-07-30,Accident,Military,2,0,USA,USA
6336,1982-08-04,Hijacking,Passenger,0,0,IND,IND
6337,1982-08-11,"Criminal occurrence (sabotage, shoot down)",Passenger,1,1,JPN,USA
6338,1982-08-14,Accident,Passenger,11,0,GEO,GEO
6339,1982-08-14,Accident,Passenger,0,1,GEO,RUS
6340,1982-08-14,Accident,Cargo,4,0,RUS,RUS
6341,1982-08-16,Hijacking,Passenger,0,0,USA,USA
6342,1982-08-20,Hijacking,Passenger,1,0,IND,IND
6343,1982-08-20,Accident,Passenger,6,1,VCT,LCA
6344,1982-08-20,Accident,Passenger,0,0,USA,USA
6345,1982-08-24,Accident,Military,1,0,RUS,RUS
6346,1982-08-25,Accident,Other,0,0,USA,USA
6347,1982-08-25,Hijacking,Passenger,0,1,HUN,POL
6348,1982-08-26,Accident,Passenger,0,0,JPN,JPN
6349,1982-08-31,Accident,Military,9,0,USA,USA
6350,1982-09-01,Accident,Passenger,44,0,ECU,ECU
6351,1982-09-03,Accident,Other,10,0,BRA,BRA
6352,1982-09-05,Accident,Passenger,0,1,NGA,GBR
6353,1982-09-09,Accident,Other,0,1,BHS,USA
6354,1982-09-10,Accident,Other,0,1,SAU,SDN
6355,1982-09-13,Accident,Passenger,50,1,ESP,USA
6356,1982-09-17,Accident,Passenger,0,1,CHN,JPN
6357,1982-09-17,Accident,Other,0,0,USA,USA
6358,1982-09-24,Accident,Military,7,0,MYS,MYS
6359,1982-09-25,Hijacking,Passenger,0,1,DZA,ITA
6360,1982-09-29,Accident,Passenger,7,1,RUS,LUX
6361,1982-10-08,Accident,Passenger,0,0,ECU,ECU
6362,1982-10-12,Accident,Passenger,0,0,ZAF,ZAF
6363,1982-10-14,Hijacking,Passenger,0,1,BGR,POL
6364,1982-10-16,Accident,Military,5,1,PRT,BMU
6365,1982-10-17,Accident,Passenger,0,1,EGY,CHE
6366,1982-10-27,Hijacking,Passenger,0,0,USA,USA
6367,1982-11-04,Accident,Cargo,0,0,PNG,PNG
6368,1982-11-06,Accident,Military,0,0,USA,USA
6369,1982-11-06,Accident,Passenger,0,0,PRT,PRT
6370,1982-11-06,Accident,Military,0,0,USA,USA
6371,1982-11-07,Hijacking,Passenger,0,1,RUS,UKR
6372,1982-11-12,Accident,Passenger,0,0,DNK,DNK
6373,1982-11-16,Accident,Military,3,0,BRA,BRA
6374,1982-11-18,Accident,Other,3,0,USA,USA
6375,1982-11-22,Hijacking,Passenger,0,0,POL,POL
6376,1982-11-27,Hijacking,Passenger,0,1,POL,HUN
6377,1982-11-29,Accident,Passenger,22,0,COL,COL
6378,1982-12-01,Hijacking,Passenger,0,0,CAN,CAN
6379,1982-12-04,Accident,Passenger,0,1,BRA,USA
6380,1982-12-07,Accident,Cargo,2,0,USA,USA
6381,1982-12-09,Accident,Passenger,46,0,CHL,CHL
6382,1982-12-12,Accident,Other,5,0,COL,COL
6383,1982-12-16,Accident,Passenger,0,0,UKR,UKR
6384,1982-12-23,Accident,Cargo,16,1,RUS,TKM
6385,1982-12-24,Accident,Passenger,25,0,CHN,CHN
6386,1982-12-30,Hijacking,Passenger,0,0,USA,USA
6387,1981-01-06,Accident,Other,0,1,GEO,RUS
6388,1981-01-08,Accident,Passenger,0,0,PAK,PAK
6389,1981-01-08,Accident,Other,6,1,GTM,HND
6390,1981-01-10,Hijacking,Passenger,0,0,POL,POL
6391,1981-01-10,Accident,Passenger,0,0,IND,IND
6392,1981-01-14,Accident,Military,9,1,DEU,NOR
6393,1981-01-18,Accident,Military,0,0,USA,USA
6394,1981-01-20,Accident,Passenger,7,0,USA,USA
6395,1981-01-21,Accident,Other,5,0,USA,USA
6396,1981-02-05,Hijacking,Passenger,0,1,USA,PRI
6397,1981-02-06,Hijacking,Passenger,0,0,COL,COL
6398,1981-02-07,Accident,Military,50,0,RUS,RUS
6399,1981-02-11,Accident,Other,8,1,CAN,USA
6400,1981-02-17,Accident,Passenger,0,0,USA,USA
6401,1981-02-24,Accident,Passenger,11,0,BRA,BRA
6402,1981-02-26,Accident,Military,23,0,PHL,PHL
6403,1981-03-02,Hijacking,Passenger,1,0,PAK,PAK
6404,1981-03-02,Accident,Other,4,0,ESP,ESP
6405,1981-03-05,Hijacking,Passenger,0,0,USA,USA
6406,1981-03-08,Accident,Cargo,0,0,RUS,RUS
6407,1981-03-10,Accident,Military,18,0,COM,COM
6408,1981-03-11,Accident,Other,0,0,GHA,GHA
6409,1981-03-15,Accident,Military,6,0,USA,USA
6410,1981-03-18,Accident,Other,0,0,USA,USA
6411,1981-03-26,Accident,Passenger,1,0,POL,POL
6412,1981-03-27,Hijacking,Passenger,0,0,HND,HND
6413,1981-03-28,Hijacking,Passenger,4,0,IDN,IDN
6414,1981-03-28,Accident,Cargo,1,1,BRB,PRI
6415,1981-03-29,Accident,Passenger,0,1,BEL,ESP
6416,1981-03-29,Accident,Other,0,1,DZA,GBR
6417,1981-04-07,Accident,Cargo,1,0,USA,USA
6418,1981-04-10,Hijacking,Passenger,1,0,USA,USA
6419,1981-04-17,Accident,Passenger,13,0,USA,USA
6420,1981-04-21,Accident,Passenger,4,1,DZA,FRA
6421,1981-04-28,Accident,Passenger,12,0,RUS,RUS
6422,1981-05-02,Accident,Passenger,4,0,MEX,MEX
6423,1981-05-02,Hijacking,Passenger,0,1,IRL,GBR
6424,1981-05-04,Accident,Military,2,0,PNG,PNG
6425,1981-05-06,Accident,Military,21,0,USA,USA
6426,1981-05-07,Accident,Passenger,31,0,ARG,ARG
6427,1981-05-15,Accident,Cargo,0,0,USA,USA
